meet_name,meet_date,season_year,race_name,course_name,gender
League Meet,2012-10-04,2012,Not Disclosed,"Alum Rock, 2.9 Miles",M
Ram Invitational,2012-09-29,2012,Not Disclosed,"Westmoor High, 2.4 Miles",M
League Meet,2012-09-27,2012,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2012-09-20,2012,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2012-09-13,2012,Not Disclosed,"Alum Rock, 2.9 Miles",M
Earlybird Invitational,2012-09-08,2012,Not Disclosed,"Toro Park, 3 Miles",M
CA State Championship,2011-11-26,2011,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2011-11-12,2011,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2011-10-31,2011,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Center Meet,2011-10-20,2011,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2011-10-17,2011,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2011-10-10,2011,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2011-10-03,2011,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2011-09-26,2011,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Stanford Invitational,2011-09-24,2011,Not Disclosed,"Stanford GC, 5 Kilometers",M
League Meet,2011-09-19,2011,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2011-09-12,2011,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Earlybird Invitational,2011-09-10,2011,Not Disclosed,"Toro Park, 3 Miles",M
CCS Championsips,2010-11-13,2010,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2010-11-01,2010,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2010-10-25,2010,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2010-10-19,2010,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2010-10-11,2010,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2010-10-05,2010,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2010-09-21,2010,Not Disclosed,"Alum Rock, 2.9 Miles",M
