id,name,location,venue,distance_meters,distance_display,difficulty_rating,elevation_gain_meters,surface_type,terrain_description,course_map_url,athletic_net_id,notes,created_at,updated_at
8f81c535-37e4-4cc7-bcc4-897287eefa07,Lynbrook High School | 1.9 Miles,,,3058,3058m,1.147733961,,,,,,,2025-10-24T21:03:57.585289+00:00,2025-10-24T21:03:57.585289+00:00
8b6310d6-1aa1-4856-b645-6b6e84adff44,Lynbrook High School | 2 Miles,,,3219,3219m,1.093878752,,,,,,,2025-10-24T21:03:58.244889+00:00,2025-10-24T21:03:58.244889+00:00
85b78d57-6471-4b06-be9b-2c2c701b8809,Lynbrook High School | 2.1 Miles,,,3380,3380m,1.103001766,,,,,,,2025-10-24T21:03:59.702823+00:00,2025-10-24T21:03:59.702823+00:00
f479de6d-d921-43b1-b9d0-02dad4042166,Lynbrook High School | 2.2 Miles,,,3541,3541m,1.103001766,,,,,,,2025-10-24T21:04:00.976255+00:00,2025-10-24T21:04:00.976255+00:00
066e30f6-d321-43ce-ae8e-a245ebf94537,Lynbrook High School | 2.65 Miles,,,4265,4265m,1.103001766,,,,,,,2025-10-24T21:04:04.034751+00:00,2025-10-24T21:04:04.034751+00:00
625bd029-8176-4f99-8953-44acf81eebaf,Meadow Park | 3 Miles,,,4828,4828m,1.146109476,,,,,,,2025-10-24T21:04:07.31067+00:00,2025-10-24T21:04:07.31067+00:00
6f077c7b-de89-4aaf-b35b-b29904370e24,Montgomery Hill | 2.74 Miles,,,4410,4410m,1.208,,,,,,,2025-10-24T21:04:04.414183+00:00,2025-10-24T21:04:04.414183+00:00
aed9fcc1-9580-44be-bb7b-aada72e8068b,Mt SAC (Rain Course) | 4.5 Kilometers,,,4500,4500m,1.134196586,,,,,,,2025-10-24T21:04:05.086124+00:00,2025-10-24T21:04:05.086124+00:00
46f45792-48d3-4ae0-befa-273341ccb864,Mt SAC (Rain Course) | 5 Kilometers,,,5000,5000m,1.135962331,,,,,,,2025-10-24T21:04:08.718275+00:00,2025-10-24T21:04:08.718275+00:00
0e3038e4-9a5a-4848-a1cc-6a46f0c03316,Mt SAC | 2.93 Miles,,,4715,4715m,1.183637434,,,,,,,2025-10-24T21:04:06.191+00:00,2025-10-24T21:04:06.191+00:00
